Subject,additional_text_types,percentage_label_winning,star_label_winning,traffic_light_label_winning,traffic_light_label_with_reference_values_winning,percentage_label_not_winning,star_label_not_winning,traffic_light_label_not_winning,traffic_light_label_with_reference_values_not_winning
1,no_text,-3.177507639,-6.287750244,4.64140892,-0.83240217,-12.79858112,6.130543232,-10.86072731,-6.782112122
2,no_text,-2.394038439,-4.128008842,-5.430847645,-6.536259651,-9.152458191,18.3005352,-3.067628384,-16.31521606
3,no_text,1.236543179,0.13065967,2.12555933,-3.016720057,-14.828619,-6.422467232,-14.28238773,-9.671045303
4,no_text,10.89924717,-1.472808599,-10.82257652,1.658365369,14.93819332,4.630754471,12.37239361,-2.608556986
5,no_text,-0.196958095,3.753628254,-5.740805626,1.353467226,7.403515339,1.448260903,2.376661777,-8.083315849
6,no_text,1.698513031,2.844455719,1.223430037,0.187310353,-9.834746361,-17.26487541,-4.886053085,-34.33622742
7,no_text,0.859592557,0.814589798,-1.685961962,-6.155931473,-3.699542046,-2.971672058,-4.374643803,1.867689848
8,no_text,2.291030169,2.683087826,-9.651572227,-12.35773659,-2.862647057,-31.46242714,-7.232615948,-15.65792274
9,no_text,-0.22137399,0.437265068,-1.361644745,-4.687246323,0.958980024,-8.037243843,-1.275501728,2.245960474
10,no_text,5.807899475,-0.707869887,0.440518022,-2.422432423,-3.85118103,3.05316329,-6.468400955,-1.739052534
11,concluding_text,-1.529787183,8.167420387,-0.422284305,-1.697627306,6.191931248,20.55623436,18.5430088,6.817952633
12,concluding_text,31.78590202,-1.49161768,2.95017767,23.77044106,32.88616943,42.35975647,-24.82850266,4.997512341
13,concluding_text,1.275734067,-2.306268454,-1.974947691,-5.48971653,-13.73097801,0.428598553,-1.977079034,-33.24918747
14,concluding_text,0.215211004,0.260696292,-1.768278956,2.593386889,5.688166618,3.621861219,-11.95362759,5.480304241
15,concluding_text,10.40031147,5.319218159,-7.124042988,-3.858595371,5.97591877,-3.222755909,-3.002289534,-42.68664551
16,concluding_text,-10.98528385,-8.347748756,4.673846245,-10.85835361,-22.81798553,-13.79317474,-8.018676758,-14.97376347
17,concluding_text,2.614753485,2.174782515,0.369086355,-8.258950233,-1.563174725,2.329353809,-11.05780697,-12.74595356
18,concluding_text,6.307365417,-6.300272942,-15.59366798,-3.70059967,-4.107124805,9.313221931,-10.4758606,-3.117687225
19,concluding_text,3.246532679,-3.197699785,-0.864061534,1.241781712,6.279592991,8.041068077,-0.229776084,10.39961052
20,concluding_text,-10.94519615,1.47392118,-17.81982803,-16.75271797,-15.0613718,-4.978533745,15.62127972,-1.484496713
21,descriptive_text,-0.673208177,-2.911423683,-0.073600695,-4.415228367,1.709374189,-22.43810081,4.397902966,0.27874884
22,descriptive_text,-3.664679289,7.751289845,14.36604691,-4.670003414,20.79275703,8.826416016,-12.86593342,2.473292351
23,descriptive_text,6.100287437,-1.446713924,-1.671665907,-5.661103725,-15.90762615,-3.297832489,9.838744164,-8.083863258
24,descriptive_text,-5.048593044,-11.42247963,-3.690289497,-4.896922588,-28.20125771,-13.3875885,4.249904156,4.024648666
25,descriptive_text,-11.73327923,1.22311151,-6.751754761,1.865733266,4.734080791,-12.57175255,-13.5028019,-33.39222717
26,descriptive_text,-10.8521347,3.589880466,-4.690188885,-7.949005604,4.582866192,-2.195522785,-20.98150635,-18.11136055
27,descriptive_text,0.099721074,-5.342736721,2.184956551,-1.819800973,4.069797516,2.094572306,4.250595093,6.922242641
28,descriptive_text,-0.629014134,-12.5395298,-0.80101943,-5.87019062,-18.32040215,-11.7910347,-0.465352893,-9.137659073
29,descriptive_text,-8.382198334,-7.440811157,-15.78916073,5.512217522,0.795648634,-3.794541121,-12.18336201,-1.25548315
30,descriptive_text,-15.80372906,1.031953573,-13.28245449,-9.296173096,19.44463539,-14.80455208,-27.68244553,-28.12690353
